Crop,Year,Sow_Month,Vegetative_Dur,Reproductive_Dur,Maturity_Dur,Temp_C,Rainfall_mm,Humidity_%,SoilMoist_%,Vegetative_Irrig_lphw,Reproductive_Irrig_lphw,Maturity_Irrig_lphw
Soybean,2013,July,28,40,15,24.78,632.0,83.2,24.0,4.31,4.46,2.89
Maize,2005,July,32,45,25,25.29,394.6,65.8,21.0,3.84,4.24,3.19
Sorghum,2016,June,25,45,14,25.71,737.9,73.0,8.5,3.95,3.54,1.91
Cotton,2012,August,45,42,24,28.09,589.1,83.2,21.2,5.16,5.2,3.72
Soybean,2015,June,25,58,14,27.15,376.7,71.0,33.7,4.3,4.16,2.98
Groundnut,2023,June,29,51,22,28.52,483.5,78.7,20.7,6.29,4.03,2.41
Paddy,2021,June,30,44,19,26.62,1170.4,77.0,27.7,9.44,6.48,6.02
Paddy,2012,June,24,47,9,26.73,671.6,78.3,18.6,8.1,6.59,7.35
Groundnut,2007,June,37,61,18,32.97,349.2,67.0,20.6,7.23,3.94,3.09
Groundnut,2007,June,22,62,24,30.58,450.8,70.5,14.5,5.28,3.24,2.49
Soybean,2005,June,36,50,18,18.94,553.3,77.2,15.6,4.51,3.07,3.01
Groundnut,2009,June,25,48,17,33.5,630.5,82.1,11.9,4.06,5.17,2.14
Sorghum,2014,June,43,49,27,29.06,587.2,64.6,26.1,2.82,3.51,1.91
Chickpea,2011,November,25,50,21,21.39,204.0,68.4,18.9,3.35,2.69,1.9
Sorghum,2013,July,41,59,22,28.42,216.4,63.2,21.1,2.7,2.79,1.61
Cotton,2011,June,44,78,30,28.05,618.6,66.2,21.9,7.32,4.99,4.07
Soybean,2013,July,29,38,15,25.48,508.7,65.0,21.1,6.12,3.5,2.43
Cotton,2012,August,49,66,24,25.58,631.7,67.1,11.6,5.31,5.54,3.88
Soybean,2016,July,22,44,11,29.01,305.9,74.1,18.8,3.91,2.79,2.27
Soybean,2006,June,21,48,8,30.56,469.7,71.5,18.4,3.23,4.69,2.41
Paddy,2005,June,31,32,25,28.58,1436.1,75.9,25.3,8.38,6.74,7.15
Sorghum,2020,June,44,59,17,29.14,547.5,78.4,14.7,3.34,2.19,2.39
Groundnut,2009,June,35,50,13,29.45,547.8,68.9,18.5,5.34,4.7,2.81
Paddy,2007,July,39,62,28,26.18,885.8,78.5,30.8,9.2,7.64,7.87
Paddy,2016,July,35,68,25,31.42,640.7,77.8,24.7,7.41,6.53,5.36
Groundnut,2012,June,38,66,22,28.05,444.8,77.7,22.5,5.07,4.53,3.73
Maize,2007,July,27,32,13,27.2,681.1,69.2,19.7,3.96,5.0,2.53
Cotton,2005,August,42,81,28,31.56,601.0,57.1,9.8,5.42,5.95,4.63
Cotton,2007,July,40,75,28,35.13,354.6,68.1,19.2,5.96,5.64,6.72
Sorghum,2009,July,46,51,30,25.39,532.8,74.3,22.9,3.04,3.41,3.18
Chickpea,2019,October,16,38,23,20.36,159.9,70.5,12.1,3.63,2.23,1.84
Chickpea,2018,November,25,28,19,25.79,325.5,68.2,15.1,3.03,2.89,2.38
Cotton,2007,July,56,61,26,28.48,313.0,74.3,30.0,5.22,7.15,3.91
Soybean,2005,July,28,48,15,29.05,513.9,71.2,21.2,5.37,4.29,2.7
Chickpea,2009,November,28,44,14,26.32,168.7,63.1,14.4,4.62,2.62,1.66
Soybean,2018,July,27,38,19,24.29,487.5,86.2,19.4,3.48,2.56,3.7
Groundnut,2011,June,31,48,19,27.67,315.0,77.9,21.2,5.83,4.11,3.28
Chickpea,2013,October,27,39,27,24.95,181.8,70.7,20.9,2.84,2.33,2.49
Chickpea,2019,October,23,52,18,20.68,253.6,62.9,29.0,2.53,3.37,2.47
Maize,2019,June,27,45,28,28.89,473.2,64.7,20.2,4.27,4.52,3.15
Paddy,2014,August,34,61,30,24.51,839.3,80.4,31.1,8.83,6.57,7.15
Groundnut,2017,June,29,61,18,29.12,344.4,69.8,20.0,5.29,6.24,2.97
Maize,2023,June,20,45,14,23.07,471.9,73.3,27.1,5.54,4.4,2.03
Chickpea,2011,October,18,39,12,23.0,195.4,78.6,19.4,2.98,1.69,1.5
Cotton,2021,July,46,71,33,29.03,802.9,53.4,30.3,4.29,4.44,3.97
Soybean,2024,June,39,45,22,25.14,475.4,71.3,16.8,2.61,4.41,2.04
Cotton,2008,June,47,63,22,30.73,569.4,57.3,17.8,7.66,4.64,2.53
Sorghum,2009,June,32,56,18,26.88,504.2,69.3,20.5,4.52,3.47,2.44
Chickpea,2011,October,27,53,16,23.16,79.6,68.2,14.5,2.63,1.95,2.29
Maize,2017,June,23,41,20,30.85,484.8,72.2,23.4,4.51,4.28,2.75
Cotton,2019,June,48,53,20,29.29,530.0,67.0,16.5,6.72,2.66,5.14
Soybean,2015,June,30,35,18,25.11,640.0,66.4,26.9,3.84,3.37,2.5
Paddy,2008,July,34,50,20,28.48,1007.1,84.0,17.5,9.28,9.51,5.59
Soybean,2017,June,37,44,18,24.47,445.3,74.5,20.4,2.16,3.67,1.52
Groundnut,2011,June,24,43,25,31.89,557.6,72.8,21.1,6.22,2.51,2.55
Groundnut,2023,June,35,64,22,26.91,628.9,80.8,24.6,2.96,4.2,3.55
Groundnut,2006,June,27,56,17,27.28,686.2,75.1,15.5,3.96,3.41,2.69
Soybean,2014,June,34,46,11,29.1,471.6,55.3,24.0,3.91,3.48,2.5
Soybean,2017,June,37,46,15,26.09,665.7,68.9,21.5,4.12,3.88,3.21
Soybean,2010,June,34,46,5,27.55,647.7,75.2,24.2,3.12,3.3,2.71
Groundnut,2016,June,32,64,19,29.81,521.8,69.1,9.7,5.59,4.24,2.83
Groundnut,2016,June,21,60,18,30.11,725.0,63.3,17.5,5.01,5.26,2.22
Cotton,2024,August,43,61,35,27.9,790.9,58.9,18.0,5.69,5.14,2.42
Chickpea,2015,October,30,41,12,22.4,254.9,58.0,16.9,2.23,2.19,2.36
Maize,2011,July,24,33,14,28.32,563.2,79.5,19.0,5.42,3.77,3.71
Soybean,2005,July,26,39,8,31.92,627.7,73.6,21.3,4.5,3.26,1.93
Groundnut,2005,June,33,52,21,25.68,485.3,68.2,23.4,6.1,5.27,2.82
Chickpea,2024,November,28,38,18,22.01,367.2,71.3,16.2,2.26,3.1,2.34
Cotton,2017,July,45,61,43,25.58,719.5,81.6,18.4,6.86,4.12,3.45
Cotton,2013,August,51,72,36,30.47,763.7,69.6,23.1,5.8,4.05,4.69
Chickpea,2007,November,28,40,21,28.6,239.3,54.5,17.2,2.81,2.37,2.38
Paddy,2011,August,38,56,27,26.76,893.1,82.5,46.4,6.32,6.9,4.94
Maize,2010,July,24,53,16,26.1,449.2,67.3,25.6,6.81,3.74,3.31
Groundnut,2012,June,20,51,27,28.89,575.3,70.9,22.3,6.67,3.17,4.51
Maize,2013,June,29,45,20,21.25,273.2,71.4,21.8,5.45,3.95,2.91
Sorghum,2009,July,35,47,15,29.76,515.1,47.6,17.8,2.56,4.69,2.7
Chickpea,2005,October,33,35,19,21.96,63.6,62.8,21.5,3.32,2.81,1.85
Sorghum,2023,July,36,49,15,23.74,457.6,68.4,24.3,4.96,4.39,2.74
Cotton,2014,August,56,42,39,30.02,840.1,67.2,17.3,4.78,5.7,4.41
Chickpea,2016,October,25,45,24,22.0,207.4,69.1,11.5,2.79,1.9,2.57
Groundnut,2019,June,28,57,18,28.43,543.2,70.3,20.0,5.01,3.76,3.43
Sorghum,2013,June,28,35,17,30.24,618.2,76.3,19.1,3.28,3.95,3.18
Paddy,2024,July,30,55,24,24.07,938.4,78.5,32.5,8.19,9.14,7.05
Soybean,2021,July,26,41,10,25.99,620.6,83.7,14.3,3.67,3.95,1.71
Cotton,2021,July,50,46,23,30.44,677.5,61.3,18.1,5.39,4.56,4.75
Soybean,2024,July,30,31,19,28.59,497.2,70.9,19.3,4.22,4.34,2.24
Maize,2016,June,22,29,16,31.13,393.7,69.4,30.1,4.33,3.87,3.48
Chickpea,2011,November,28,37,13,20.85,299.5,68.3,16.1,3.04,1.46,1.14
Sorghum,2006,July,24,47,22,27.17,449.7,59.4,27.4,3.68,2.09,2.58
Chickpea,2007,November,29,29,20,24.29,306.6,61.9,16.3,2.94,2.59,2.52
Sorghum,2021,June,45,46,21,29.75,404.8,64.8,24.8,3.52,2.85,2.21
Maize,2009,June,28,34,22,27.31,329.6,73.6,23.7,4.3,4.1,2.69
Sorghum,2021,June,24,56,28,28.98,360.3,67.1,17.3,4.71,2.65,2.62
Sorghum,2021,July,40,60,15,25.38,634.8,67.1,18.6,5.04,3.95,3.24
Paddy,2021,August,37,47,27,27.77,701.6,79.9,26.2,8.9,7.5,6.2
Cotton,2006,June,46,47,24,27.97,557.7,77.4,14.2,5.64,5.86,3.76
Soybean,2006,July,24,44,19,26.96,686.5,76.0,30.5,3.65,3.69,2.47
Groundnut,2009,June,33,49,11,29.76,479.7,71.6,17.5,5.31,3.24,3.08
Paddy,2005,June,36,53,28,27.8,592.6,73.2,28.8,7.95,6.13,7.17
Sorghum,2005,June,34,50,25,31.97,404.7,73.6,28.6,5.06,3.95,1.63
Soybean,2023,June,29,48,16,30.06,619.5,71.8,19.6,5.15,3.69,2.56
Sorghum,2006,July,33,43,22,27.46,628.0,63.5,35.2,4.42,4.49,2.87
Groundnut,2016,June,26,52,13,28.78,538.9,74.2,27.7,5.07,2.58,5.33
Soybean,2010,July,33,42,18,32.67,419.2,82.1,19.1,5.63,3.42,2.88
Chickpea,2008,October,24,37,13,21.12,205.3,64.2,12.1,3.69,2.45,2.02
Paddy,2015,August,39,44,23,29.19,838.4,79.5,31.1,9.56,6.53,4.75
Sorghum,2021,June,29,59,21,30.91,599.5,53.4,16.8,4.42,2.41,2.17
Sorghum,2010,July,38,50,24,30.79,438.5,61.7,23.9,4.63,3.53,2.21
Sorghum,2009,June,39,47,14,31.2,613.8,69.1,16.4,3.22,3.68,2.5
Soybean,2024,July,23,33,13,24.68,566.9,75.4,21.3,5.03,3.85,3.43
Paddy,2006,August,35,49,22,27.58,939.8,84.1,28.1,6.84,9.58,6.16
Sorghum,2010,July,31,33,10,27.11,427.5,68.8,34.3,4.63,3.51,3.53
Sorghum,2015,July,42,66,21,28.68,312.5,64.3,22.8,5.04,3.17,3.28
Chickpea,2020,October,19,42,20,22.79,362.3,66.1,16.5,2.94,2.55,2.25
Sorghum,2020,July,34,50,22,27.3,577.9,77.6,18.4,5.61,3.39,4.0
Chickpea,2005,October,24,27,22,23.91,164.6,61.7,13.8,3.52,2.32,1.94
Soybean,2013,June,36,41,10,26.35,488.6,69.7,20.9,4.77,3.68,2.47
Maize,2010,July,19,47,21,29.78,321.2,83.9,21.6,3.22,5.76,2.21
Paddy,2020,July,37,61,28,27.97,922.4,77.3,37.1,8.01,7.53,3.9
Chickpea,2007,October,29,28,20,24.27,103.9,58.5,22.9,3.32,2.19,2.48
Paddy,2024,August,36,55,26,28.0,657.8,76.4,31.4,6.84,6.33,5.8
Soybean,2008,July,30,33,12,27.36,392.7,79.2,15.5,5.22,4.83,2.69
Groundnut,2023,June,29,56,17,24.93,412.3,73.9,16.3,4.83,4.48,3.29
Chickpea,2007,November,24,38,29,25.39,103.9,59.9,14.4,3.22,3.29,2.04
Groundnut,2023,June,32,49,22,28.06,339.5,76.2,21.0,4.21,5.42,2.74
Sorghum,2024,July,45,46,27,31.2,369.9,75.2,20.1,2.71,3.3,3.04
Sorghum,2011,July,37,54,19,26.74,534.0,78.5,20.3,4.0,3.62,3.21
Soybean,2024,June,30,38,13,23.6,338.8,76.4,20.6,4.16,3.28,2.31
Sorghum,2013,July,32,41,16,25.46,421.9,69.9,29.5,4.91,2.78,3.21
Soybean,2005,June,35,44,14,23.66,465.8,66.0,19.7,3.62,3.49,2.3
Maize,2012,July,22,44,24,24.81,377.0,70.9,32.5,3.42,3.75,3.16
Cotton,2011,August,47,56,33,27.76,674.6,74.9,21.7,6.92,4.57,4.55
Soybean,2022,July,30,43,16,29.37,573.1,70.0,23.6,4.88,3.09,2.58
Groundnut,2012,June,19,58,23,30.5,476.5,75.5,28.1,6.47,4.08,3.28
Chickpea,2005,October,22,39,17,21.58,193.1,69.0,13.9,2.95,2.46,2.22
Paddy,2015,July,44,47,14,26.98,824.5,77.1,32.2,8.77,8.69,5.38
Groundnut,2022,June,33,60,6,27.33,378.4,76.2,22.7,5.52,3.86,3.08
Sorghum,2014,July,36,46,10,26.65,510.8,75.5,34.1,4.3,4.0,3.38
Maize,2007,June,19,37,18,29.89,475.8,64.6,25.8,4.44,3.02,2.46
Groundnut,2011,June,38,58,20,28.5,552.1,75.4,22.5,5.3,4.8,3.21
Soybean,2020,June,29,44,18,27.99,527.2,80.6,31.4,3.52,2.69,2.33
Groundnut,2020,June,33,58,25,28.22,304.8,67.2,23.8,6.16,2.57,4.05
Paddy,2024,June,25,60,27,25.77,975.8,77.2,37.7,6.43,6.87,5.81
Sorghum,2021,June,43,51,17,29.55,439.0,72.1,20.0,3.54,4.45,2.19
Cotton,2006,August,41,69,42,29.85,589.0,68.0,14.7,6.84,4.94,3.88
Soybean,2005,July,30,53,17,24.4,620.3,69.5,30.6,4.22,3.65,2.09
Soybean,2020,July,24,50,16,25.49,613.3,72.3,22.4,5.92,2.67,1.69
Sorghum,2016,July,36,41,29,30.48,466.7,73.1,21.6,4.86,1.93,2.19
Chickpea,2009,October,24,30,20,23.28,163.7,78.6,17.5,3.03,3.17,2.86
Soybean,2009,July,34,34,22,30.45,294.6,74.2,19.2,4.18,4.05,3.03
Paddy,2013,August,27,44,20,26.35,1260.1,74.7,35.4,7.44,7.47,5.94
Maize,2013,July,26,35,23,25.08,649.0,69.2,26.4,5.47,3.5,1.77
Groundnut,2007,June,31,55,22,28.55,472.7,84.0,13.6,5.86,3.64,3.0
Maize,2023,June,22,44,16,27.1,333.6,83.4,19.6,5.38,3.04,2.9
Soybean,2020,July,27,34,10,27.4,611.9,82.1,21.1,3.93,3.54,1.98
Groundnut,2020,June,33,72,16,26.62,630.7,75.6,22.7,6.63,3.01,2.36
Chickpea,2007,November,29,30,18,23.31,68.4,55.8,23.5,3.04,3.09,2.07
Maize,2024,July,14,48,20,25.55,582.9,79.1,9.0,5.19,2.86,3.3
Maize,2005,June,24,48,14,26.53,568.1,75.6,26.7,3.52,4.91,3.04
Cotton,2024,July,42,30,26,30.35,517.7,68.4,27.5,5.92,3.11,3.85
Paddy,2015,June,38,51,18,25.68,794.4,73.2,41.2,9.7,8.59,6.16
Soybean,2021,July,35,49,15,31.3,550.4,79.8,25.0,3.03,4.71,2.57
Paddy,2012,June,43,51,25,26.46,818.7,77.4,39.0,6.09,6.0,7.1
Paddy,2008,July,38,66,19,30.18,956.8,78.0,27.2,6.34,7.99,5.3
Soybean,2010,July,26,53,18,26.82,704.7,64.1,21.0,4.72,1.83,2.42
Maize,2012,July,27,38,12,29.03,569.7,71.4,23.2,3.2,4.62,3.89
Soybean,2024,July,26,29,14,27.18,607.1,71.5,19.1,4.65,4.19,1.69
Sorghum,2007,June,35,50,16,27.25,480.2,58.4,21.2,4.51,2.71,3.49
Groundnut,2020,June,36,45,26,28.71,566.0,71.5,25.6,5.57,3.45,2.5
Groundnut,2007,June,22,56,22,30.3,507.0,68.2,17.6,6.24,3.71,3.29
Paddy,2022,August,36,52,32,26.12,917.9,81.0,36.7,9.78,6.77,5.64
Chickpea,2018,November,19,38,18,25.67,252.0,66.2,21.3,3.22,2.27,2.43
Groundnut,2022,June,24,57,12,29.41,541.2,82.4,13.2,4.66,4.76,3.4
Maize,2006,July,17,28,21,28.36,535.1,81.3,24.8,4.95,3.03,3.51
Paddy,2007,July,34,65,17,28.24,582.2,80.0,29.8,8.73,5.99,5.52
Soybean,2020,July,26,42,10,27.6,371.8,74.2,28.2,4.73,3.73,2.23
Paddy,2013,July,34,66,31,27.65,499.8,82.2,31.6,7.51,8.21,6.55
Soybean,2008,June,26,40,15,24.75,687.7,76.8,16.2,5.31,4.66,1.93
Maize,2005,July,18,26,19,24.8,422.4,77.6,22.4,4.77,3.65,2.98
Cotton,2008,July,41,58,34,27.7,514.6,74.1,15.7,5.62,5.5,5.64
Soybean,2005,July,39,45,10,24.77,648.1,78.0,13.8,4.33,3.68,2.12
Sorghum,2018,June,43,50,14,21.77,475.8,69.8,20.5,4.31,3.9,3.4
Chickpea,2020,October,26,38,15,21.01,246.1,64.2,20.9,1.87,1.68,1.39
Sorghum,2024,June,42,57,18,27.46,465.0,62.6,21.3,3.98,4.73,3.37
Soybean,2012,July,33,27,18,23.96,666.9,74.4,27.0,3.85,2.87,1.62
Chickpea,2011,October,24,44,22,24.3,229.7,60.4,17.8,3.03,2.62,1.61
Paddy,2007,June,30,52,20,27.31,1114.8,76.1,40.0,9.25,9.03,6.37
Sorghum,2021,June,36,56,13,23.22,417.6,80.6,36.1,5.66,3.46,1.73
Cotton,2005,July,39,57,33,23.0,698.1,71.0,17.3,6.43,5.8,4.82
Sorghum,2020,June,31,51,26,29.91,410.4,61.1,19.8,3.18,3.7,3.29
Soybean,2016,July,25,36,8,28.7,540.9,70.1,27.0,3.7,4.07,2.53
Maize,2023,July,19,27,18,25.24,543.1,71.5,17.0,4.45,3.7,1.93
Maize,2018,June,25,41,20,28.53,411.7,61.3,26.2,5.14,5.06,1.54
Groundnut,2010,June,29,55,12,28.83,650.6,84.4,25.9,4.91,5.11,3.75
Sorghum,2010,July,39,56,24,25.71,413.6,78.2,24.6,3.02,3.75,3.19
Maize,2017,July,21,44,16,28.37,483.9,71.6,19.5,5.12,3.52,2.75
Groundnut,2023,June,22,48,17,29.63,585.5,71.0,20.2,6.72,4.2,2.88
Maize,2012,July,23,37,22,31.46,494.8,68.7,21.7,4.91,3.34,3.07
Chickpea,2006,November,31,40,18,21.71,132.3,60.3,22.5,1.76,2.54,2.01
Maize,2005,July,17,38,22,26.89,576.0,77.2,21.1,7.18,3.72,2.87
Chickpea,2019,November,25,39,21,23.49,289.2,69.7,22.8,3.73,2.59,2.83
Sorghum,2005,June,37,41,29,24.73,510.1,79.0,27.6,4.34,2.92,1.97
Paddy,2009,August,45,65,22,29.08,790.9,75.2,35.0,9.75,6.56,5.67
Groundnut,2020,June,31,47,27,27.19,450.3,82.8,22.1,6.95,3.92,4.71
Chickpea,2023,October,33,38,27,18.58,231.9,62.7,15.9,3.39,2.39,1.19
Cotton,2008,July,48,74,28,27.12,627.2,70.0,13.9,5.5,6.61,2.92
Chickpea,2007,November,26,33,16,21.95,135.8,61.7,13.2,1.9,3.01,1.48
Groundnut,2021,June,29,61,16,27.35,544.9,79.6,15.2,5.06,2.71,2.96
Cotton,2021,June,44,47,25,38.27,689.0,77.4,18.2,5.14,5.7,2.48
Soybean,2016,June,27,60,12,24.7,503.0,75.4,24.7,2.53,3.34,3.08
Chickpea,2018,October,30,40,17,22.27,119.7,66.5,18.1,3.32,2.94,2.05
Maize,2010,June,17,41,22,28.05,404.5,87.5,16.6,3.83,4.19,4.27
Groundnut,2007,June,25,52,25,28.96,483.2,76.8,22.4,6.13,5.13,3.38
Cotton,2013,July,49,41,25,25.03,484.6,75.6,18.0,7.07,5.62,4.04
Chickpea,2009,October,23,42,22,22.28,66.9,58.2,21.6,1.36,3.09,2.21
Soybean,2021,June,31,47,11,27.74,395.1,63.6,18.9,4.64,4.45,2.53
Sorghum,2018,June,30,57,21,23.16,517.5,66.2,23.3,3.53,3.84,3.43
Soybean,2007,July,24,43,16,25.99,642.8,86.8,24.1,4.47,3.16,2.69
Cotton,2005,August,54,54,22,31.27,719.9,70.0,17.2,6.99,5.48,3.39
Cotton,2024,July,51,58,28,27.73,756.0,65.0,26.3,6.16,7.41,3.47
Sorghum,2005,July,36,39,26,29.92,590.2,70.8,10.0,5.07,3.64,3.01
Soybean,2007,July,31,56,9,29.18,309.5,69.4,16.3,5.19,2.48,2.38
Sorghum,2022,June,35,47,8,31.94,599.5,71.1,35.4,3.42,4.92,2.22
Groundnut,2014,June,31,44,20,29.77,503.0,77.6,21.5,4.73,3.65,3.69
Groundnut,2007,June,26,62,26,25.66,644.6,84.3,22.3,5.74,4.93,3.03
Sorghum,2012,July,40,41,16,24.76,520.3,65.8,21.9,4.74,3.27,3.45
Maize,2018,July,18,37,15,25.36,461.4,67.6,15.9,4.63,3.23,2.62
Soybean,2022,June,35,31,12,26.87,710.8,71.0,15.3,4.74,4.72,3.05
Groundnut,2019,June,32,57,8,29.05,539.6,73.2,24.5,5.04,3.81,3.82
Soybean,2006,July,23,57,11,26.94,539.7,68.6,22.7,4.96,4.47,2.9
Soybean,2014,June,27,51,11,27.18,491.5,66.3,13.5,4.68,4.76,2.98
Groundnut,2006,June,35,48,21,26.15,538.6,80.9,28.1,7.03,4.89,3.49
Groundnut,2021,June,34,60,15,25.97,617.1,84.5,25.6,3.5,3.68,3.08
